"Localidades";"Períodos";"Óbitos por Causas Externas ";"Taxa de Mortalidade por Causas Externas (Por cem mil habitantes)";"Óbitos por Agressões ";"Taxa de Mortalidade por Agressões (Por cem mil habitantes)";"Óbitos por Acidentes de Transportes ";"Taxa de Mortalidade por Acidentes de Transportes (Por cem mil habitantes)";"Cód. IBGE"
"Lutécia";"2015";"3";"112,78";"-";"-";"1";"37,59";3527900
"Lutécia";"2016";"5";"188,54";"-";"-";"3";"113,12";3527900
"Lutécia";"2017";"2";"75,64";"-";"-";"1";"37,82";3527900
"Macatuba";"2013";"8";"48,59";"-";"-";"5";"30,37";3528007
"Macatuba";"2014";"6";"36,28";"-";"-";"4";"24,19";3528007
"Macatuba";"2015";"16";"96,34";"4";"24,09";"8";"48,17";3528007
"Macatuba";"2016";"8";"47,98";"-";"-";"2";"12";3528007
"Macatuba";"2017";"10";"59,75";"2";"11,95";"2";"11,95";3528007
"Macaubal";"2013";"8";"103,84";"-";"-";"3";"38,94";3528106
"Macaubal";"2014";"4";"51,83";"-";"-";"1";"12,96";3528106
"Macaubal";"2015";"5";"64,66";"1";"12,93";"3";"38,79";3528106
"Macaubal";"2016";"3";"38,78";"-";"-";"-";"-";3528106
"Macaubal";"2017";"3";"38,76";"-";"-";"1";"12,92";3528106
"Macedônia";"2013";"2";"55,01";"-";"-";"1";"27,5";3528205
"Macedônia";"2014";"1";"27,58";"-";"-";"-";"-";3528205
"Macedônia";"2015";"2";"55,29";"-";"-";"1";"27,65";3528205
"Macedônia";"2016";"1";"27,71";"-";"-";"1";"27,71";3528205
"Macedônia";"2017";"1";"27,78";"-";"-";"-";"-";3528205
"Magda";"2013";"3";"94,73";"-";"-";"3";"94,73";3528304
"Magda";"2014";"7";"221,8";"-";"-";"6";"190,11";3528304
"Magda";"2015";"3";"95,42";"-";"-";"1";"31,81";3528304
"Magda";"2016";"3";"95,75";"-";"-";"2";"63,84";3528304
"Magda";"2017";"4";"128,12";"-";"-";"2";"64,06";3528304
"Mairinque";"2013";"43";"97,32";"14";"31,68";"10";"22,63";3528403
"Mairinque";"2014";"36";"80,86";"11";"24,71";"9";"20,21";3528403
"Mairinque";"2015";"35";"78,02";"6";"13,37";"10";"22,29";3528403
"Mairinque";"2016";"29";"64,23";"-";"-";"8";"17,72";3528403
"Mairinque";"2017";"42";"92,43";"4";"8,8";"14";"30,81";3528403
"Mairiporã";"2013";"54";"62,62";"13";"15,07";"21";"24,35";3528502
"Mairiporã";"2014";"56";"63,53";"16";"18,15";"13";"14,75";3528502
"Mairiporã";"2015";"70";"77,69";"17";"18,87";"18";"19,98";3528502
"Mairiporã";"2016";"61";"66,49";"13";"14,17";"11";"11,99";3528502
"Mairiporã";"2017";"79";"84,57";"17";"18,2";"15";"16,06";3528502
"Manduri";"2013";"9";"98,24";"-";"-";"5";"54,58";3528601
"Manduri";"2014";"8";"86,77";"-";"-";"2";"21,69";3528601
"Manduri";"2015";"4";"43,1";"-";"-";"2";"21,55";3528601
"Manduri";"2016";"8";"85,76";"1";"10,72";"1";"10,72";3528601
"Manduri";"2017";"5";"53,32";"1";"10,66";"1";"10,66";3528601
"Marabá Paulista";"2013";"-";"-";"-";"-";"-";"-";3528700
"Marabá Paulista";"2014";"1";"20,61";"-";"-";"-";"-";3528700
"Marabá Paulista";"2015";"3";"61,64";"-";"-";"2";"41,09";3528700
"Marabá Paulista";"2016";"-";"-";"-";"-";"-";"-";3528700
"Marabá Paulista";"2017";"2";"40,87";"-";"-";"-";"-";3528700
"Maracaí";"2013";"12";"89,58";"3";"22,39";"4";"29,86";3528809
"Maracaí";"2014";"12";"89,43";"2";"14,9";"6";"44,71";3528809
"Maracaí";"2015";"11";"81,84";"-";"-";"7";"52,08";3528809
"Maracaí";"2016";"9";"66,88";"1";"7,43";"2";"14,86";3528809
"Maracaí";"2017";"8";"59,38";"-";"-";"1";"7,42";3528809
"Marapoama";"2013";"-";"-";"-";"-";"-";"-";3528858
"Marapoama";"2014";"3";"109,09";"-";"-";"2";"72,73";3528858
"Marapoama";"2015";"2";"71,92";"-";"-";"1";"35,96";3528858
"Marapoama";"2016";"-";"-";"-";"-";"-";"-";3528858
"Marapoama";"2017";"2";"70,67";"-";"-";"-";"-";3528858
"Mariápolis";"2013";"2";"50,83";"-";"-";"1";"25,41";3528908
"Mariápolis";"2014";"-";"-";"-";"-";"-";"-";3528908
"Mariápolis";"2015";"3";"75,99";"1";"25,33";"1";"25,33";3528908
"Mariápolis";"2016";"3";"75,87";"-";"-";"2";"50,58";3528908
"Mariápolis";"2017";"3";"75,78";"-";"-";"-";"-";3528908
"Marília";"2013";"138";"62,34";"26";"11,74";"34";"15,36";3529005
"Marília";"2014";"129";"57,85";"19";"8,52";"41";"18,39";3529005
"Marília";"2015";"117";"52,08";"14";"6,23";"35";"15,58";3529005
"Marília";"2016";"125";"55,31";"28";"12,39";"23";"10,18";3529005
"Marília";"2017";"122";"53,65";"19";"8,36";"34";"14,95";3529005
"Marinópolis";"2013";"4";"189,93";"-";"-";"3";"142,45";3529104
"Marinópolis";"2014";"1";"47,53";"-";"-";"1";"47,53";3529104
"Marinópolis";"2015";"2";"95,19";"-";"-";"1";"47,6";3529104
"Marinópolis";"2016";"1";"47,62";"-";"-";"-";"-";3529104
"Marinópolis";"2017";"2";"95,24";"-";"-";"2";"95,24";3529104
"Martinópolis";"2013";"16";"64,89";"-";"-";"5";"20,28";3529203
"Martinópolis";"2014";"26";"104,8";"3";"12,09";"9";"36,28";3529203
"Martinópolis";"2015";"18";"72,11";"1";"4,01";"8";"32,05";3529203
"Martinópolis";"2016";"16";"63,74";"3";"11,95";"7";"27,89";3529203
"Martinópolis";"2017";"17";"67,35";"-";"-";"6";"23,77";3529203
"Matão";"2013";"47";"60,37";"2";"2,57";"23";"29,54";3529302
"Matão";"2014";"34";"43,46";"3";"3,83";"15";"19,17";3529302
"Matão";"2015";"39";"49,61";"8";"10,18";"8";"10,18";3529302
"Matão";"2016";"36";"45,63";"5";"6,34";"12";"15,21";3529302
"Matão";"2017";"28";"35,37";"2";"2,53";"5";"6,32";3529302
"Mauá";"2013";"227";"52,74";"90";"20,91";"46";"10,69";3529401
"Mauá";"2014";"203";"46,65";"56";"12,87";"48";"11,03";3529401
"Mauá";"2015";"207";"47,05";"56";"12,73";"37";"8,41";3529401
"Mauá";"2016";"184";"41,45";"44";"9,91";"29";"6,53";3529401
"Mauá";"2017";"167";"37,28";"51";"11,39";"15";"3,35";3529401
"Mendonça";"2013";"3";"62,89";"-";"-";"1";"20,96";3529500
"Mendonça";"2014";"3";"62,28";"1";"20,76";"1";"20,76";3529500
"Mendonça";"2015";"3";"61,68";"-";"-";"1";"20,56";3529500
"Mendonça";"2016";"2";"40,82";"-";"-";"2";"40,82";3529500
"Mendonça";"2017";"2";"40,54";"-";"-";"1";"20,27";3529500
"Meridiano";"2013";"1";"26,17";"-";"-";"-";"-";3529609
"Meridiano";"2014";"1";"26,25";"-";"-";"-";"-";3529609
"Meridiano";"2015";"3";"78,99";"-";"-";"2";"52,66";3529609
"Meridiano";"2016";"1";"26,41";"-";"-";"-";"-";3529609
"Meridiano";"2017";"3";"79,47";"-";"-";"1";"26,49";3529609
"Mesópolis";"2013";"2";"105,99";"-";"-";"2";"105,99";3529658
"Mesópolis";"2014";"-";"-";"-";"-";"-";"-";3529658
"Mesópolis";"2015";"-";"-";"-";"-";"-";"-";3529658
"Mesópolis";"2016";"4";"211,86";"-";"-";"3";"158,9";3529658
"Mesópolis";"2017";"1";"52,91";"-";"-";"-";"-";3529658
"Miguelópolis";"2013";"10";"48,18";"-";"-";"-";"-";3529708
"Miguelópolis";"2014";"17";"81,48";"3";"14,38";"5";"23,96";3529708
"Miguelópolis";"2015";"14";"66,76";"4";"19,07";"3";"14,3";3529708
"Miguelópolis";"2016";"19";"90,21";"3";"14,24";"6";"28,49";3529708
"Miguelópolis";"2017";"13";"61,46";"2";"9,46";"2";"9,46";3529708
"Mineiros do Tietê";"2013";"3";"24,58";"-";"-";"-";"-";3529807
"Mineiros do Tietê";"2014";"8";"65,23";"1";"8,15";"1";"8,15";3529807
"Mineiros do Tietê";"2015";"6";"48,69";"-";"-";"1";"8,12";3529807
"Mineiros do Tietê";"2016";"14";"113,11";"-";"-";"6";"48,48";3529807
"Mineiros do Tietê";"2017";"10";"80,44";"2";"16,09";"2";"16,09";3529807
"Mira Estrela";"2013";"-";"-";"-";"-";"-";"-";3530003
"Mira Estrela";"2014";"-";"-";"-";"-";"-";"-";3530003
"Mira Estrela";"2015";"-";"-";"-";"-";"-";"-";3530003
"Mira Estrela";"2016";"2";"69,13";"1";"34,57";"1";"34,57";3530003
"Mira Estrela";"2017";"3";"103,27";"1";"34,42";"-";"-";3530003
"Miracatu";"2013";"19";"93,8";"3";"14,81";"12";"59,24";3529906
"Miracatu";"2014";"13";"64,54";"3";"14,89";"7";"34,75";3529906
"Miracatu";"2015";"29";"144,8";"6";"29,96";"14";"69,91";3529906
"Miracatu";"2016";"13";"64,97";"3";"14,99";"7";"34,99";3529906
"Miracatu";"2017";"16";"80,04";"2";"10,01";"8";"40,02";3529906
"Mirandópolis";"2013";"13";"46,66";"2";"7,18";"6";"21,53";3530102
"Mirandópolis";"2014";"18";"64,29";"2";"7,14";"9";"32,15";3530102
"Mirandópolis";"2015";"14";"49,77";"6";"21,33";"3";"10,67";3530102
"Mirandópolis";"2016";"18";"63,76";"3";"10,63";"2";"7,08";3530102
"Mirandópolis";"2017";"8";"28,23";"-";"-";"1";"3,53";3530102
"Mirante do Paranapanema";"2013";"7";"40,51";"1";"5,79";"1";"5,79";3530201
"Mirante do Paranapanema";"2014";"13";"74,91";"2";"11,52";"6";"34,57";3530201
"Mirante do Paranapanema";"2015";"8";"45,89";"1";"5,74";"2";"11,47";3530201
"Mirante do Paranapanema";"2016";"18";"102,87";"2";"11,43";"6";"34,29";3530201
"Mirante do Paranapanema";"2017";"7";"39,85";"-";"-";"1";"5,69";3530201
"Mirassol";"2013";"37";"67,21";"5";"9,08";"13";"23,61";3530300
"Mirassol";"2014";"44";"79,29";"8";"14,42";"20";"36,04";3530300
"Mirassol";"2015";"39";"69,72";"1";"1,79";"9";"16,09";3530300
"Mirassol";"2016";"40";"71,03";"5";"8,88";"8";"14,21";3530300
"Mirassol";"2017";"34";"59,98";"8";"14,11";"11";"19,41";3530300
"Mirassolândia";"2013";"3";"67,95";"-";"-";"1";"22,65";3530409
"Mirassolândia";"2014";"3";"67,29";"-";"-";"1";"22,43";3530409
"Mirassolândia";"2015";"3";"66,65";"-";"-";"-";"-";3530409
"Mirassolândia";"2016";"3";"66,08";"1";"22,03";"1";"22,03";3530409
"Mirassolândia";"2017";"4";"87,34";"-";"-";"3";"65,5";3530409
"Mococa";"2013";"23";"34,63";"1";"1,51";"9";"13,55";3530508
"Mococa";"2014";"37";"55,67";"4";"6,02";"20";"30,09";3530508
"Mococa";"2015";"44";"66,16";"5";"7,52";"15";"22,55";3530508
"Mococa";"2016";"39";"58,6";"2";"3";"14";"21,03";3530508
"Mococa";"2017";"26";"39,04";"1";"1,5";"9";"13,51";3530508
"Mogi das Cruzes";"2013";"254";"63,31";"54";"13,46";"72";"17,95";3530607
"Mogi das Cruzes";"2014";"262";"64,54";"92";"22,66";"63";"15,52";3530607
"Mogi das Cruzes";"2015";"236";"57,45";"62";"15,09";"57";"13,88";3530607
"Mogi das Cruzes";"2016";"228";"54,93";"40";"9,64";"47";"11,32";3530607
"Mogi das Cruzes";"2017";"207";"49,35";"22";"5,24";"50";"11,92";3530607
"Mogi Guaçu";"2013";"88";"62,56";"15";"10,66";"34";"24,17";3530706
"Mogi Guaçu";"2014";"84";"59,21";"10";"7,05";"34";"23,97";3530706
"Mogi Guaçu";"2015";"74";"51,72";"10";"6,99";"22";"15,38";3530706
"Mogi Guaçu";"2016";"72";"49,96";"11";"7,63";"24";"16,65";3530706
"Mogi Guaçu";"2017";"100";"68,89";"15";"10,33";"33";"22,74";3530706
"Mogi Mirim";"2013";"61";"69,48";"9";"10,25";"21";"23,92";3530805
"Mogi Mirim";"2014";"51";"57,79";"9";"10,2";"19";"21,53";3530805
"Mogi Mirim";"2015";"55";"62,01";"6";"6,76";"17";"19,17";3530805
"Mogi Mirim";"2016";"51";"57,28";"7";"7,86";"15";"16,85";3530805
"Mogi Mirim";"2017";"49";"54,82";"8";"8,95";"8";"8,95";3530805
"Mombuca";"2013";"1";"30,42";"-";"-";"-";"-";3530904
"Mombuca";"2014";"5";"151,79";"1";"30,36";"4";"121,43";3530904
"Mombuca";"2015";"2";"60,59";"-";"-";"-";"-";3530904
"Mombuca";"2016";"1";"30,24";"-";"-";"-";"-";3530904
"Mombuca";"2017";"4";"120,74";"-";"-";"1";"30,18";3530904
"Mongaguá";"2013";"47";"96,34";"9";"18,45";"20";"40,99";3531100
"Mongaguá";"2014";"42";"84,53";"12";"24,15";"8";"16,1";3531100
"Mongaguá";"2015";"40";"79,05";"5";"9,88";"12";"23,71";3531100
"Mongaguá";"2016";"33";"64,23";"10";"19,46";"8";"15,57";3531100
"Mongaguá";"2017";"47";"90,09";"7";"13,42";"9";"17,25";3531100
"Monte Alegre do Sul";"2013";"3";"40,83";"-";"-";"1";"13,61";3531209
"Monte Alegre do Sul";"2014";"1";"13,49";"-";"-";"-";"-";3531209
"Monte Alegre do Sul";"2015";"2";"26,72";"-";"-";"1";"13,36";3531209
"Monte Alegre do Sul";"2016";"5";"66,35";"-";"-";"2";"26,54";3531209
"Monte Alegre do Sul";"2017";"3";"39,53";"-";"-";"3";"39,53";3531209
"Monte Alto";"2013";"36";"76,2";"1";"2,12";"16";"33,87";3531308
"Monte Alto";"2014";"32";"67,44";"3";"6,32";"10";"21,07";3531308
"Monte Alto";"2015";"32";"67,14";"4";"8,39";"9";"18,88";3531308
"Monte Alto";"2016";"25";"52,29";"2";"4,18";"12";"25,1";3531308
"Monte Alto";"2017";"23";"47,96";"2";"4,17";"10";"20,85";3531308
"Monte Aprazível";"2013";"13";"58,18";"1";"4,48";"5";"22,38";3531407
"Monte Aprazível";"2014";"10";"44,33";"1";"4,43";"2";"8,87";3531407
"Monte Aprazível";"2015";"25";"109,78";"4";"17,56";"8";"35,13";3531407
"Monte Aprazível";"2016";"22";"96,03";"4";"17,46";"8";"34,92";3531407
"Monte Aprazível";"2017";"14";"60,75";"1";"4,34";"7";"30,38";3531407
"Monte Azul Paulista";"2013";"11";"58,81";"1";"5,35";"6";"32,08";3531506
"Monte Azul Paulista";"2014";"18";"96,62";"2";"10,74";"6";"32,21";3531506
"Monte Azul Paulista";"2015";"8";"43,12";"-";"-";"-";"-";3531506
"Monte Azul Paulista";"2016";"12";"64,93";"1";"5,41";"5";"27,05";3531506
"Monte Azul Paulista";"2017";"11";"59,76";"2";"10,86";"5";"27,16";3531506
"Monte Castelo";"2013";"4";"99,13";"-";"-";"1";"24,78";3531605
"Monte Castelo";"2014";"3";"74,5";"-";"-";"1";"24,83";3531605
"Monte Castelo";"2015";"1";"24,89";"-";"-";"-";"-";3531605
"Monte Castelo";"2016";"2";"49,86";"-";"-";"-";"-";3531605
"Monte Castelo";"2017";"2";"49,91";"-";"-";"-";"-";3531605
"Monte Mor";"2013";"40";"76,87";"14";"26,9";"18";"34,59";3531803
"Monte Mor";"2014";"30";"56,44";"11";"20,7";"15";"28,22";3531803
"Monte Mor";"2015";"50";"92,1";"22";"40,52";"17";"31,31";3531803
"Monte Mor";"2016";"38";"68,7";"12";"21,69";"12";"21,69";3531803
"Monte Mor";"2017";"37";"65,65";"9";"15,97";"13";"23,07";3531803
"Monteiro Lobato";"2013";"5";"118,37";"-";"-";"1";"23,67";3531704
"Monteiro Lobato";"2014";"5";"117,34";"2";"46,94";"2";"46,94";3531704
"Monteiro Lobato";"2015";"7";"162,87";"-";"-";"4";"93,07";3531704
"Monteiro Lobato";"2016";"4";"92,38";"1";"23,09";"-";"-";3531704
"Monteiro Lobato";"2017";"5";"114,57";"-";"-";"1";"22,91";3531704
"Monções";"2013";"1";"46,55";"-";"-";"1";"46,55";3531001
"Monções";"2014";"4";"185,7";"-";"-";"2";"92,85";3531001
"Monções";"2015";"3";"138,89";"-";"-";"1";"46,3";3531001
"Monções";"2016";"1";"46,23";"-";"-";"-";"-";3531001
"Monções";"2017";"2";"92,34";"1";"46,17";"-";"-";3531001
"Morro Agudo";"2013";"22";"73,14";"6";"19,95";"5";"16,62";3531902
"Morro Agudo";"2014";"17";"55,88";"4";"13,15";"4";"13,15";3531902
"Morro Agudo";"2015";"12";"39";"2";"6,5";"5";"16,25";3531902
"Morro Agudo";"2016";"16";"51,49";"3";"9,65";"5";"16,09";3531902
"Morro Agudo";"2017";"22";"70,1";"1";"3,19";"10";"31,86";3531902
"Morungaba";"2013";"4";"32,74";"1";"8,19";"2";"16,37";3532009
"Morungaba";"2014";"4";"32,33";"3";"24,24";"1";"8,08";3532009
"Morungaba";"2015";"6";"47,87";"2";"15,96";"1";"7,98";3532009
"Morungaba";"2016";"10";"78,9";"-";"-";"4";"31,56";3532009
"Morungaba";"2017";"10";"78,03";"-";"-";"2";"15,61";3532009
"Motuca";"2013";"5";"113,77";"-";"-";"2";"45,51";3532058
"Motuca";"2014";"3";"67,69";"-";"-";"2";"45,13";3532058
"Motuca";"2015";"3";"67,13";"1";"22,38";"1";"22,38";3532058
"Motuca";"2016";"3";"66,64";"-";"-";"1";"22,21";3532058
"Motuca";"2017";"3";"66,14";"-";"-";"1";"22,05";3532058
"Murutinga do Sul";"2013";"2";"47,43";"1";"23,71";"-";"-";3532108
"Murutinga do Sul";"2014";"5";"118,26";"-";"-";"4";"94,61";3532108
"Murutinga do Sul";"2015";"1";"23,59";"-";"-";"-";"-";3532108
"Murutinga do Sul";"2016";"2";"47,09";"-";"-";"-";"-";3532108
"Murutinga do Sul";"2017";"3";"70,49";"-";"-";"1";"23,5";3532108
"Nantes";"2013";"3";"106,5";"1";"35,5";"1";"35,5";3532157
"Nantes";"2014";"2";"70,03";"-";"-";"1";"35,01";3532157
"Nantes";"2015";"3";"103,59";"1";"34,53";"-";"-";3532157
"Nantes";"2016";"2";"68,26";"-";"-";"1";"34,13";3532157
"Nantes";"2017";"3";"101,18";"-";"-";"1";"33,73";3532157
"Narandiba";"2013";"2";"44,97";"-";"-";"-";"-";3532207
"Narandiba";"2014";"2";"44,4";"-";"-";"-";"-";3532207
"Narandiba";"2015";"4";"87,7";"-";"-";"1";"21,93";3532207
"Narandiba";"2016";"7";"151,65";"3";"64,99";"-";"-";3532207
"Narandiba";"2017";"5";"107,04";"-";"-";"2";"42,82";3532207
"Natividade da Serra";"2013";"5";"74,86";"2";"29,94";"1";"14,97";3532306
"Natividade da Serra";"2014";"5";"74,86";"1";"14,97";"-";"-";3532306
"Natividade da Serra";"2015";"11";"164,7";"1";"14,97";"-";"-";3532306
"Natividade da Serra";"2016";"11";"164,6";"1";"14,96";"4";"59,85";3532306
"Natividade da Serra";"2017";"6";"89,73";"2";"29,91";"-";"-";3532306
"Nazaré Paulista";"2013";"11";"64,63";"6";"35,25";"2";"11,75";3532405
"Nazaré Paulista";"2014";"20";"116,04";"4";"23,21";"6";"34,81";3532405
"Nazaré Paulista";"2015";"17";"97,41";"4";"22,92";"4";"22,92";3532405
"Nazaré Paulista";"2016";"13";"73,67";"2";"11,33";"5";"28,34";3532405
"Nazaré Paulista";"2017";"14";"78,47";"1";"5,6";"5";"28,02";3532405
"Neves Paulista";"2013";"5";"57,21";"1";"11,44";"3";"34,33";3532504
"Neves Paulista";"2014";"8";"91,67";"2";"22,92";"2";"22,92";3532504
"Neves Paulista";"2015";"3";"34,42";"-";"-";"-";"-";3532504
"Neves Paulista";"2016";"6";"68,99";"1";"11,5";"2";"23";3532504
"Neves Paulista";"2017";"7";"80,67";"-";"-";"4";"46,1";3532504
"Nhandeara";"2013";"8";"74,31";"-";"-";"5";"46,45";3532603
"Nhandeara";"2014";"4";"37,11";"-";"-";"2";"18,55";3532603
"Nhandeara";"2015";"6";"55,58";"1";"9,26";"3";"27,79";3532603
"Nhandeara";"2016";"14";"129,71";"1";"9,27";"3";"27,8";3532603
"Nhandeara";"2017";"5";"46,34";"-";"-";"3";"27,8";3532603
"Nipoã";"2013";"2";"44,47";"-";"-";"2";"44,47";3532702
"Nipoã";"2014";"1";"21,84";"-";"-";"1";"21,84";3532702
"Nipoã";"2015";"11";"236,05";"2";"42,92";"5";"107,3";3532702
"Nipoã";"2016";"3";"63,56";"-";"-";"3";"63,56";3532702
"Nipoã";"2017";"2";"41,83";"1";"20,92";"1";"20,92";3532702
"Nova Aliança";"2013";"11";"181,49";"-";"-";"7";"115,49";3532801
"Nova Aliança";"2014";"3";"49";"-";"-";"2";"32,67";3532801
"Nova Aliança";"2015";"7";"113,2";"-";"-";"2";"32,34";3532801
"Nova Aliança";"2016";"9";"144,3";"1";"16,03";"3";"48,1";3532801
"Nova Aliança";"2017";"4";"63,6";"-";"-";"1";"15,9";3532801
"Nova Campina";"2013";"3";"33,95";"2";"22,63";"-";"-";3532827
"Nova Campina";"2014";"2";"22,35";"-";"-";"1";"11,17";3532827
"Nova Campina";"2015";"6";"66,2";"3";"33,1";"-";"-";3532827
"Nova Campina";"2016";"5";"54,45";"-";"-";"2";"21,78";3532827
"Nova Campina";"2017";"2";"21,5";"-";"-";"2";"21,5";3532827
"Nova Canaã Paulista";"2013";"5";"242,95";"-";"-";"2";"97,18";3532843
"Nova Canaã Paulista";"2014";"-";"-";"-";"-";"-";"-";3532843
"Nova Canaã Paulista";"2015";"2";"99,01";"-";"-";"-";"-";3532843
"Nova Canaã Paulista";"2016";"-";"-";"-";"-";"-";"-";3532843
"Nova Canaã Paulista";"2017";"-";"-";"-";"-";"-";"-";3532843
"Nova Castilho";"2013";"-";"-";"-";"-";"-";"-";3532868
"Nova Castilho";"2014";"-";"-";"-";"-";"-";"-";3532868
"Nova Castilho";"2015";"1";"86,58";"-";"-";"-";"-";3532868
"Nova Castilho";"2016";"2";"172,56";"-";"-";"-";"-";3532868
"Nova Castilho";"2017";"1";"85,91";"-";"-";"-";"-";3532868
"Nova Europa";"2013";"6";"61,64";"1";"10,27";"2";"20,55";3532900
"Nova Europa";"2014";"7";"70,78";"-";"-";"4";"40,44";3532900
"Nova Europa";"2015";"2";"19,9";"-";"-";"1";"9,95";3532900
"Nova Europa";"2016";"7";"68,74";"-";"-";"4";"39,28";3532900
"Nova Europa";"2017";"2";"19,37";"-";"-";"1";"9,69";3532900
"Nova Granada";"2013";"14";"71,04";"6";"30,45";"7";"35,52";3533007
"Nova Granada";"2014";"17";"85,46";"2";"10,05";"7";"35,19";3533007
"Nova Granada";"2015";"16";"79,69";"4";"19,92";"6";"29,88";3533007
"Nova Granada";"2016";"13";"64,21";"1";"4,94";"7";"34,58";3533007
"Nova Granada";"2017";"11";"53,89";"5";"24,5";"2";"9,8";3533007
"Nova Guataporanga";"2013";"1";"45,83";"-";"-";"-";"-";3533106
"Nova Guataporanga";"2014";"3";"137,36";"-";"-";"2";"91,58";3533106
"Nova Guataporanga";"2015";"1";"45,75";"-";"-";"-";"-";3533106
"Nova Guataporanga";"2016";"-";"-";"-";"-";"-";"-";3533106
"Nova Guataporanga";"2017";"3";"137,11";"1";"45,7";"-";"-";3533106
"Nova Independência";"2013";"3";"91,6";"-";"-";"-";"-";3533205
"Nova Independência";"2014";"2";"59,67";"1";"29,83";"1";"29,83";3533205
"Nova Independência";"2015";"1";"29,16";"-";"-";"-";"-";3533205
"Nova Independência";"2016";"1";"28,67";"-";"-";"-";"-";3533205
"Nova Independência";"2017";"-";"-";"-";"-";"-";"-";3533205
"Nova Luzitânia";"2013";"1";"27,5";"-";"-";"1";"27,5";3533304
"Nova Luzitânia";"2014";"4";"107,9";"-";"-";"3";"80,93";3533304
"Nova Luzitânia";"2015";"1";"26,47";"-";"-";"-";"-";3533304
"Nova Luzitânia";"2016";"3";"78,33";"-";"-";"1";"26,11";3533304
"Nova Luzitânia";"2017";"2";"51,52";"-";"-";"1";"25,76";3533304
"Nova Odessa";"2013";"29";"54,33";"5";"9,37";"12";"22,48";3533403
"Nova Odessa";"2014";"23";"42,48";"5";"9,24";"5";"9,24";3533403
"Nova Odessa";"2015";"32";"58,28";"6";"10,93";"17";"30,96";3533403
"Nova Odessa";"2016";"21";"37,82";"2";"3,6";"8";"14,41";3533403
"Nova Odessa";"2017";"25";"44,53";"4";"7,12";"8";"14,25";3533403
"Novais";"2013";"2";"40,98";"1";"20,49";"1";"20,49";3533254
"Novais";"2014";"3";"60,17";"-";"-";"-";"-";3533254
"Novais";"2015";"1";"19,63";"-";"-";"1";"19,63";3533254
"Novais";"2016";"3";"57,98";"-";"-";"3";"57,98";3533254
"Novais";"2017";"1";"19,03";"-";"-";"1";"19,03";3533254
"Novo Horizonte";"2013";"27";"72,35";"2";"5,36";"11";"29,47";3533502
"Novo Horizonte";"2014";"22";"58,54";"2";"5,32";"11";"29,27";3533502
"Novo Horizonte";"2015";"26";"68,71";"3";"7,93";"10";"26,43";3533502
"Novo Horizonte";"2016";"24";"63,06";"3";"7,88";"9";"23,65";3533502
"Novo Horizonte";"2017";"16";"41,8";"2";"5,22";"4";"10,45";3533502
"Nuporanga";"2013";"6";"86,23";"1";"14,37";"2";"28,74";3533601
"Nuporanga";"2014";"3";"42,81";"1";"14,27";"-";"-";3533601
"Nuporanga";"2015";"4";"56,68";"2";"28,34";"2";"28,34";3533601
"Nuporanga";"2016";"3";"42,26";"-";"-";"1";"14,09";3533601
"Nuporanga";"2017";"2";"28,01";"-";"-";"-";"-";3533601
"Ocauçu";"2013";"2";"48,12";"-";"-";"1";"24,06";3533700
"Ocauçu";"2014";"3";"72,24";"-";"-";"-";"-";3533700
"Ocauçu";"2015";"3";"72,27";"1";"24,09";"2";"48,18";3533700
"Ocauçu";"2016";"2";"48,19";"-";"-";"-";"-";3533700
"Ocauçu";"2017";"3";"72,31";"-";"-";"1";"24,1";3533700
"Óleo";"2013";"-";"-";"-";"-";"-";"-";3533809
"Óleo";"2014";"1";"38,45";"-";"-";"1";"38,45";3533809
"Óleo";"2015";"1";"38,71";"-";"-";"-";"-";3533809
"Óleo";"2016";"1";"38,88";"-";"-";"-";"-";3533809
"Óleo";"2017";"1";"39,06";"-";"-";"-";"-";3533809
"Olímpia";"2013";"37";"72,82";"4";"7,87";"12";"23,62";3533908
"Olímpia";"2014";"34";"66,55";"4";"7,83";"17";"33,27";3533908
"Olímpia";"2015";"34";"66,19";"3";"5,84";"8";"15,57";3533908
"Olímpia";"2016";"31";"60,08";"3";"5,81";"8";"15,5";3533908
"Olímpia";"2017";"36";"69,46";"6";"11,58";"14";"27,01";3533908
"Onda Verde";"2013";"5";"125,41";"-";"-";"1";"25,08";3534005
"Onda Verde";"2014";"6";"149,14";"1";"24,86";"3";"74,57";3534005
"Onda Verde";"2015";"1";"24,63";"-";"-";"1";"24,63";3534005
"Onda Verde";"2016";"3";"73,3";"-";"-";"1";"24,43";3534005
"Onda Verde";"2017";"7";"169,66";"-";"-";"4";"96,95";3534005
"Oriente";"2013";"2";"32,54";"-";"-";"-";"-";3534104
"Oriente";"2014";"8";"129,79";"3";"48,67";"2";"32,45";3534104
"Oriente";"2015";"5";"80,89";"1";"16,18";"2";"32,36";3534104
"Oriente";"2016";"3";"48,4";"-";"-";"1";"16,13";3534104
"Oriente";"2017";"-";"-";"-";"-";"-";"-";3534104
"Orindiúva";"2013";"5";"82,73";"-";"-";"4";"66,18";3534203
"Orindiúva";"2014";"3";"48,57";"-";"-";"3";"48,57";3534203
"Orindiúva";"2015";"-";"-";"-";"-";"-";"-";3534203
"Orindiúva";"2016";"4";"62,3";"-";"-";"2";"31,15";3534203
