"Localidades";"Períodos";"Óbitos por Causas Externas ";"Taxa de Mortalidade por Causas Externas (Por cem mil habitantes)";"Óbitos por Agressões ";"Taxa de Mortalidade por Agressões (Por cem mil habitantes)";"Óbitos por Acidentes de Transportes ";"Taxa de Mortalidade por Acidentes de Transportes (Por cem mil habitantes)";"Cód. IBGE"
"Américo Brasiliense";"2017";"16";"41,48";"4";"10,37";"1";"2,59";3501707
"Américo de Campos";"2013";"7";"122,38";"-";"-";"1";"17,48";3501806
"Américo de Campos";"2014";"3";"52,39";"-";"-";"1";"17,46";3501806
"Américo de Campos";"2015";"5";"87,24";"-";"-";"1";"17,45";3501806
"Américo de Campos";"2016";"6";"104,68";"-";"-";"1";"17,45";3501806
"Américo de Campos";"2017";"1";"17,44";"-";"-";"-";"-";3501806
"Amparo";"2013";"48";"71,58";"7";"10,44";"20";"29,83";3501905
"Amparo";"2014";"37";"54,83";"1";"1,48";"12";"17,78";3501905
"Amparo";"2015";"48";"70,67";"4";"5,89";"15";"22,09";3501905
"Amparo";"2016";"53";"77,64";"4";"5,86";"15";"21,97";3501905
"Amparo";"2017";"47";"68,51";"2";"2,92";"12";"17,49";3501905
"Analândia";"2013";"1";"22,38";"-";"-";"-";"-";3502002
"Analândia";"2014";"3";"66,23";"1";"22,08";"-";"-";3502002
"Analândia";"2015";"5";"108,86";"-";"-";"1";"21,77";3502002
"Analândia";"2016";"1";"21,54";"-";"-";"-";"-";3502002
"Analândia";"2017";"6";"127,82";"1";"21,3";"2";"42,61";3502002
"Andradina";"2013";"38";"68,35";"10";"17,99";"13";"23,38";3502101
"Andradina";"2014";"43";"77,22";"14";"25,14";"10";"17,96";3502101
"Andradina";"2015";"32";"57,37";"8";"14,34";"7";"12,55";3502101
"Andradina";"2016";"48";"85,97";"12";"21,49";"11";"19,7";3502101
"Andradina";"2017";"42";"75,15";"1";"1,79";"4";"7,16";3502101
"Angatuba";"2013";"12";"52,44";"2";"8,74";"6";"26,22";3502200
"Angatuba";"2014";"10";"43,25";"-";"-";"8";"34,6";3502200
"Angatuba";"2015";"13";"55,65";"2";"8,56";"6";"25,68";3502200
"Angatuba";"2016";"12";"50,88";"2";"8,48";"6";"25,44";3502200
"Angatuba";"2017";"12";"50,4";"3";"12,6";"4";"16,8";3502200
"Anhembi";"2013";"5";"83,98";"1";"16,8";"1";"16,8";3502309
"Anhembi";"2014";"4";"65,97";"-";"-";"2";"32,99";3502309
"Anhembi";"2015";"4";"64,81";"2";"32,4";"2";"32,4";3502309
"Anhembi";"2016";"7";"111,66";"-";"-";"3";"47,85";3502309
"Anhembi";"2017";"5";"78,53";"3";"47,12";"-";"-";3502309
"Anhumas";"2013";"4";"105,04";"-";"-";"1";"26,26";3502408
"Anhumas";"2014";"2";"52,21";"-";"-";"2";"52,21";3502408
"Anhumas";"2015";"2";"51,87";"-";"-";"1";"25,93";3502408
"Anhumas";"2016";"1";"25,79";"-";"-";"1";"25,79";3502408
"Anhumas";"2017";"-";"-";"-";"-";"-";"-";3502408
"Aparecida";"2013";"22";"62,47";"7";"19,88";"7";"19,88";3502507
"Aparecida";"2014";"13";"36,84";"3";"8,5";"6";"17";3502507
"Aparecida";"2015";"27";"76,35";"9";"25,45";"6";"16,97";3502507
"Aparecida";"2016";"23";"64,91";"12";"33,87";"4";"11,29";3502507
"Aparecida";"2017";"20";"56,34";"4";"11,27";"3";"8,45";3502507
"Aparecida d'Oeste";"2013";"1";"22,99";"1";"22,99";"-";"-";3502606
"Aparecida d'Oeste";"2014";"2";"46,33";"1";"23,16";"1";"23,16";3502606
"Aparecida d'Oeste";"2015";"5";"116,74";"1";"23,35";"-";"-";3502606
"Aparecida d'Oeste";"2016";"4";"94,05";"-";"-";"3";"70,54";3502606
"Aparecida d'Oeste";"2017";"2";"47,37";"-";"-";"-";"-";3502606
"Apiaí";"2013";"20";"80,31";"2";"8,03";"7";"28,11";3502705
"Apiaí";"2014";"9";"36,29";"-";"-";"2";"8,06";3502705
"Apiaí";"2015";"8";"32,38";"-";"-";"4";"16,19";3502705
"Apiaí";"2016";"14";"56,69";"1";"4,05";"6";"24,3";3502705
"Apiaí";"2017";"13";"52,66";"1";"4,05";"1";"4,05";3502705
"Aramina";"2013";"4";"76,02";"-";"-";"2";"38,01";3503000
"Aramina";"2014";"2";"37,73";"-";"-";"1";"18,86";3503000
"Aramina";"2015";"1";"18,73";"-";"-";"-";"-";3503000
"Aramina";"2016";"1";"18,62";"-";"-";"-";"-";3503000
"Aramina";"2017";"5";"92,56";"-";"-";"2";"37,02";3503000
"Arandu";"2013";"5";"81,54";"-";"-";"4";"65,23";3503109
"Arandu";"2014";"2";"32,6";"-";"-";"-";"-";3503109
"Arandu";"2015";"3";"48,88";"-";"-";"2";"32,58";3503109
"Arandu";"2016";"2";"32,55";"1";"16,28";"-";"-";3503109
"Arandu";"2017";"2";"32,53";"-";"-";"-";"-";3503109
"Arapeí";"2013";"1";"40,31";"-";"-";"-";"-";3503158
"Arapeí";"2014";"3";"121,11";"1";"40,37";"1";"40,37";3503158
"Arapeí";"2015";"2";"80,91";"-";"-";"-";"-";3503158
"Arapeí";"2016";"1";"40,47";"-";"-";"1";"40,47";3503158
"Arapeí";"2017";"-";"-";"-";"-";"-";"-";3503158
"Araraquara";"2013";"131";"60,91";"18";"8,37";"32";"14,88";3503208
"Araraquara";"2014";"102";"46,93";"22";"10,12";"32";"14,72";3503208
"Araraquara";"2015";"133";"60,56";"18";"8,2";"39";"17,76";3503208
"Araraquara";"2016";"120";"54,25";"23";"10,4";"33";"14,92";3503208
"Araraquara";"2017";"124";"55,66";"11";"4,94";"32";"14,36";3503208
"Araras";"2013";"70";"57,12";"15";"12,24";"17";"13,87";3503307
"Araras";"2014";"62";"50,06";"10";"8,07";"22";"17,76";3503307
"Araras";"2015";"64";"51,12";"9";"7,19";"17";"13,58";3503307
"Araras";"2016";"61";"48,28";"15";"11,87";"16";"12,66";3503307
"Araras";"2017";"64";"50,2";"11";"8,63";"16";"12,55";3503307
"Araçariguama";"2013";"24";"131,43";"6";"32,86";"8";"43,81";3502754
"Araçariguama";"2014";"11";"58,84";"1";"5,35";"3";"16,05";3502754
"Araçariguama";"2015";"19";"99,28";"4";"20,9";"8";"41,8";3502754
"Araçariguama";"2016";"14";"71,82";"3";"15,39";"4";"20,52";3502754
"Araçariguama";"2017";"9";"45,33";"3";"15,11";"3";"15,11";3502754
"Araçatuba";"2013";"117";"63,42";"24";"13,01";"38";"20,6";3502804
"Araçatuba";"2014";"146";"78,7";"32";"17,25";"50";"26,95";3502804
"Araçatuba";"2015";"140";"75,05";"36";"19,3";"36";"19,3";3502804
"Araçatuba";"2016";"148";"79,01";"45";"24,02";"29";"15,48";3502804
"Araçatuba";"2017";"117";"62,2";"21";"11,16";"21";"11,16";3502804
"Araçoiaba da Serra";"2013";"17";"59,02";"1";"3,47";"12";"41,66";3502903
"Araçoiaba da Serra";"2014";"20";"68,14";"1";"3,41";"6";"20,44";3502903
"Araçoiaba da Serra";"2015";"17";"56,84";"4";"13,37";"5";"16,72";3502903
"Araçoiaba da Serra";"2016";"17";"55,94";"2";"6,58";"7";"23,04";3502903
"Araçoiaba da Serra";"2017";"19";"61,54";"3";"9,72";"4";"12,96";3502903
"Arco-Íris";"2013";"-";"-";"-";"-";"-";"-";3503356
"Arco-Íris";"2014";"1";"53,45";"-";"-";"1";"53,45";3503356
"Arco-Íris";"2015";"1";"53,85";"-";"-";"1";"53,85";3503356
"Arco-Íris";"2016";"2";"108,17";"-";"-";"1";"54,08";3503356
"Arco-Íris";"2017";"-";"-";"-";"-";"-";"-";3503356
"Arealva";"2013";"7";"88,05";"1";"12,58";"2";"25,16";3503406
"Arealva";"2014";"8";"100,15";"1";"12,52";"2";"25,04";3503406
"Arealva";"2015";"1";"12,46";"-";"-";"-";"-";3503406
"Arealva";"2016";"8";"99,26";"1";"12,41";"1";"12,41";3503406
"Arealva";"2017";"7";"86,48";"-";"-";"-";"-";3503406
"Areias";"2013";"1";"26,81";"-";"-";"-";"-";3503505
"Areias";"2014";"3";"80,15";"1";"26,72";"2";"53,43";3503505
"Areias";"2015";"1";"26,64";"-";"-";"1";"26,64";3503505
"Areias";"2016";"1";"26,51";"-";"-";"-";"-";3503505
"Areias";"2017";"2";"52,78";"-";"-";"1";"26,39";3503505
"Areiópolis";"2013";"5";"46,99";"1";"9,4";"1";"9,4";3503604
"Areiópolis";"2014";"6";"56,27";"1";"9,38";"3";"28,14";3503604
"Areiópolis";"2015";"4";"37,44";"1";"9,36";"-";"-";3503604
"Areiópolis";"2016";"8";"74,63";"2";"18,66";"4";"37,32";3503604
"Areiópolis";"2017";"6";"55,8";"-";"-";"1";"9,3";3503604
"Ariranha";"2013";"6";"68,3";"1";"11,38";"1";"11,38";3503703
"Ariranha";"2014";"1";"11,28";"-";"-";"1";"11,28";3503703
"Ariranha";"2015";"14";"156,37";"2";"22,34";"5";"55,85";3503703
"Ariranha";"2016";"9";"99,72";"1";"11,08";"3";"33,24";3503703
"Ariranha";"2017";"5";"54,96";"2";"21,98";"1";"10,99";3503703
"Artur Nogueira";"2013";"23";"49,03";"4";"8,53";"8";"17,06";3503802
"Artur Nogueira";"2014";"24";"50,11";"1";"2,09";"16";"33,41";3503802
"Artur Nogueira";"2015";"31";"63,4";"2";"4,09";"16";"32,72";3503802
"Artur Nogueira";"2016";"27";"54,41";"6";"12,09";"8";"16,12";3503802
"Artur Nogueira";"2017";"29";"57,6";"1";"1,99";"10";"19,86";3503802
"Arujá";"2013";"42";"52,98";"15";"18,92";"14";"17,66";3503901
"Arujá";"2014";"51";"63,09";"10";"12,37";"16";"19,79";3503901
"Arujá";"2015";"45";"54,59";"14";"16,98";"17";"20,62";3503901
"Arujá";"2016";"50";"59,63";"11";"13,12";"16";"19,08";3503901
"Arujá";"2017";"52";"60,97";"10";"11,73";"16";"18,76";3503901
"Aspásia";"2013";"2";"111,42";"-";"-";"-";"-";3503950
"Aspásia";"2014";"1";"55,83";"1";"55,83";"-";"-";3503950
"Aspásia";"2015";"-";"-";"-";"-";"-";"-";3503950
"Aspásia";"2016";"1";"56,12";"-";"-";"-";"-";3503950
"Aspásia";"2017";"1";"56,27";"-";"-";"-";"-";3503950
"Assis";"2013";"58";"59,75";"10";"10,3";"18";"18,54";3504008
"Assis";"2014";"65";"66,5";"8";"8,19";"25";"25,58";3504008
"Assis";"2015";"50";"50,81";"4";"4,06";"14";"14,23";3504008
"Assis";"2016";"45";"45,45";"3";"3,03";"16";"16,16";3504008
"Assis";"2017";"46";"46,19";"8";"8,03";"16";"16,07";3504008
"Atibaia";"2013";"94";"71,97";"13";"9,95";"32";"24,5";3504107
"Atibaia";"2014";"95";"71,96";"17";"12,88";"36";"27,27";3504107
"Atibaia";"2015";"95";"71,19";"15";"11,24";"22";"16,49";3504107
"Atibaia";"2016";"83";"61,64";"5";"3,71";"27";"20,05";3504107
"Atibaia";"2017";"70";"51,52";"9";"6,62";"22";"16,19";3504107
"Auriflama";"2013";"11";"76,93";"-";"-";"7";"48,96";3504206
"Auriflama";"2014";"12";"83,73";"1";"6,98";"7";"48,85";3504206
"Auriflama";"2015";"2";"13,92";"-";"-";"1";"6,96";3504206
"Auriflama";"2016";"6";"41,7";"-";"-";"2";"13,9";3504206
"Auriflama";"2017";"13";"90,23";"1";"6,94";"6";"41,64";3504206
"Avaí";"2013";"2";"39,55";"-";"-";"-";"-";3504305
"Avaí";"2014";"3";"58,92";"-";"-";"2";"39,28";3504305
"Avaí";"2015";"2";"39,02";"-";"-";"2";"39,02";3504305
"Avaí";"2016";"4";"77,55";"1";"19,39";"-";"-";3504305
"Avaí";"2017";"1";"19,26";"-";"-";"1";"19,26";3504305
